Obs,Latitude,Longitude,july_min,jan_max,prec,evap,soil,wind
NGFY1032709,-33.28466667,25.65316667,4.02,43.29,701.37,0.26,0.41,3.92
NGFY1032807,-33.31316667,25.586,4.02,43.29,701.37,0.26,0.41,3.92
NGFY1032809,-33.30716667,25.562,4.02,43.29,701.37,0.26,0.41,3.92
IEBY1090407,-34.22516667,19.32316667,1.57,36.73,458.79,0.16,0.45,3.73
NGFY1102502,-34.3545,18.8765,10.17,24.48,474.61,0.22,0.42,3.61
SMRY1102502,-34.3085,18.83083333,10.17,24.48,474.61,0.22,0.42,3.61
WMPY1111704,-32.785,19.13333333,-1.39,35.69,564.26,0.2,0.49,3.73
DOAY2030701,-33.854,23.50983333,8.42,29.69,390.23,0.17,0.44,2.8
DJLY2050202,-33.5825,19.37583333,0.23,36.51,527.34,0.21,0.47,3.48
DJLY2050204,-33.5825,19.47533333,0.23,36.51,527.34,0.21,0.47,3.48
SMRY2082901,-34.27483333,19.16983333,6.87,29.51,363.87,0.14,0.41,3.67
SMRY2082904,-34.59933333,19.49666667,6.87,29.51,363.87,0.14,0.41,3.67
SMRY2090601,-34.27933333,19.23716667,6.87,29.51,363.87,0.14,0.41,3.67
SMRY2090602,-34.3005,19.4215,6.87,29.51,363.87,0.14,0.41,3.67
DOAY4020903,-34.346,21.49616667,10.11,26.65,200.39,0.02,0.31,4.6
DOAY4020904,-34.33083333,21.49566667,10.11,26.65,200.39,0.02,0.31,4.6
WMPY2103012,-33.863,21.79616667,4.23,35.73,305.86,0.03,0.41,4.22
WMPY2103015,-33.86983333,21.77216667,4.23,35.73,305.86,0.03,0.41,4.22
NAHY5110902,-34.50266667,19.91666667,5.49,30.49,374.41,0.13,0.4,4.09
PMR91120505,-33.72166667,24.22633333,0.54,42.04,453.52,0.14,0.44,3.92
AGR91092903,-33.68533333,18.707,3.84,37.94,516.8,0.22,0.42,3.4
AGR91101404,-34.2345,19.02633333,6.06,33.55,506.25,0.19,0.45,3.49
AGR91112403,-34.236,18.4065,11.12,25.9,374.41,0.22,0.34,3.64
CBE92050202,-34.35183333,18.8275,10.17,24.48,474.61,0.22,0.42,3.61
APE92060701,-34.337,18.828,10.17,24.48,474.61,0.22,0.42,3.61
APE92080219,-34.37933333,20.54533333,8.98,29.13,237.3,0.02,0.37,4.33
AGR92090901,-34.19683333,18.82433333,6.06,33.55,506.25,0.19,0.45,3.49
PAP92081801,-34.3075,18.8225,10.17,24.48,474.61,0.22,0.42,3.61
PAP92082711,-34.35666667,18.9715,10.17,24.48,474.61,0.22,0.42,3.61
ASP92092001,-34.237,19.008,6.06,33.55,506.25,0.19,0.45,3.49
ASP92092002,-34.23833333,19.00266667,6.06,33.55,506.25,0.19,0.45,3.49
ASP92092214,-34.23216667,18.97316667,6.06,33.55,506.25,0.19,0.45,3.49
