OBS,PRO,Lats,Latitude,Longitude,jan_max,july_min,prec,evap,soil,wind
OUT95032501,PRMUND,33.84733333,-33.84733333,22.6425,30.83,7.26,348.05,0.08,0.43,2.07
NAH95050903,PRMUND,33.65083333,-33.65083333,24.7935,42.57,2.58,511.52,0.16,0.41,3.06
DOA95042702,PRMUND,33.99316667,-33.99316667,24.19783333,35.12,6.64,427.15,0.16,0.44,2.84
DOA95042705,PRMUND,34.06016667,-34.06016667,24.49466667,35.12,6.64,427.15,0.16,0.44,2.84
JAT95052601,PRMUND,34.0825,-34.0825,23.31183333,31.46,6.64,369.14,0.1,0.43,1.43
JAT95052602,PRMUND,34.07433333,-34.07433333,23.29733333,31.46,6.64,369.14,0.1,0.43,1.43
DFJ95080501,PRMUND,33.85,-33.85,23.715,29.69,8.42,390.23,0.17,0.44,2.8
PVR95080605,PRMUND,34.3245,-34.3245,18.9985,24.48,10.17,474.61,0.22,0.42,3.61
PVR95080611,PRMUND,34.3205,-34.3205,18.991,24.48,10.17,474.61,0.22,0.42,3.61
AWA95072404,PRMUND,33.7585,-33.7585,23.161,31.46,6.64,369.14,0.1,0.43,1.43
DFJ95102202,PRMUND,33.892,-33.892,25.27233333,34.44,8.8,421.88,0.15,0.43,2.87
PVR95102606,PRMUND,34.3925,-34.3925,19.33333333,29.51,6.87,363.87,0.14,0.41,3.67
PVR95102608,PRMUND,34.39083333,-34.39083333,19.34166667,29.51,6.87,363.87,0.14,0.41,3.67
OUT95100703,PRMUND,33.8405,-33.8405,23.18166667,31.46,6.64,369.14,0.1,0.43,1.43
OUT95100704,PRMUND,33.83966667,-33.83966667,23.17633333,31.46,6.64,369.14,0.1,0.43,1.43
OUT95100705,PRMUND,33.83833333,-33.83833333,23.172,31.46,6.64,369.14,0.1,0.43,1.43
OUT95100706,PRMUND,33.83616667,-33.83616667,23.16916667,31.46,6.64,369.14,0.1,0.43,1.43
OUT95100707,PRMUND,33.83533333,-33.83533333,23.16533333,31.46,6.64,369.14,0.1,0.43,1.43
OUT95100708,PRMUND,33.8365,-33.8365,23.1635,31.46,6.64,369.14,0.1,0.43,1.43
DFJ96010101,PRMUND,34.01,-34.01,23.225,31.46,6.64,369.14,0.1,0.43,1.43
RDF95120201,PRMUND,33.836,-33.836,22.9205,31.46,6.64,369.14,0.1,0.43,1.43
RDF95120202,PRMUND,33.83533333,-33.83533333,22.91883333,31.46,6.64,369.14,0.1,0.43,1.43
RDF95120301,PRMUND,33.81833333,-33.81833333,22.8985,31.46,6.64,369.14,0.1,0.43,1.43
HRK95121701,PRMUND,33.96266667,-33.96266667,23.9375,29.69,8.42,390.23,0.17,0.44,2.8
HRK95121702,PRMUND,33.95983333,-33.95983333,23.9375,29.69,8.42,390.23,0.17,0.44,2.8
HRK95121703,PRMUND,33.95816667,-33.95816667,23.935,29.69,8.42,390.23,0.17,0.44,2.8
HRK95121704,PRMUND,33.95666667,-33.95666667,23.93383333,29.69,8.42,390.23,0.17,0.44,2.8
HRK95121705,PRMUND,33.955,-33.955,23.929,29.69,8.42,390.23,0.17,0.44,2.8
AGR96010706,PRMUND,34.33333333,-34.33333333,18.928,24.48,10.17,474.61,0.22,0.42,3.61
DOA95122908,PRMUND,33.995,-33.995,24.20916667,35.12,6.64,427.15,0.16,0.44,2.84
DOA95122909,PRMUND,33.99366667,-33.99366667,24.17416667,35.12,6.64,427.15,0.16,0.44,2.84
DOA95122911,PRMUND,33.96666667,-33.96666667,23.87683333,29.69,8.42,390.23,0.17,0.44,2.8
MHG96010202,PRMUND,33.97616667,-33.97616667,23.62533333,29.69,8.42,390.23,0.17,0.44,2.8
MHG96010205,PRMUND,33.97066667,-33.97066667,23.64466667,29.69,8.42,390.23,0.17,0.44,2.8
